"","Species","Site","detection","num.samples","Sppcode","Diet","sitecov1"
"216","Cisticola juncidis","BN1",0,10,44,0,1
"217","Cisticola juncidis","BN2",1,10,44,0,0
"218","Cisticola juncidis","BNC1",0,10,44,0,1
"219","Cisticola juncidis","BNC2",0,10,44,0,0
"220","Cisticola juncidis","BNC3",0,10,44,0,1
"221","Cisticola juncidis","CHC1",0,10,44,0,0
"222","Cisticola juncidis","CHC2",4,10,44,0,0
"223","Cisticola juncidis","CHC3",0,10,44,0,1
"224","Cisticola juncidis","CHC4",0,10,44,0,1
"225","Cisticola juncidis","CHC5",0,10,44,0,0
"226","Cisticola juncidis","CHC7",0,10,44,0,0
"227","Cisticola juncidis","CHS1",0,10,44,0,1
"228","Cisticola juncidis","CHS2",0,10,44,0,0
"229","Cisticola juncidis","CHS4",1,10,44,0,1
"230","Cisticola juncidis","CHS6",0,10,44,0,0
"231","Cisticola juncidis","MDC1",0,10,44,0,1
"232","Cisticola juncidis","MDS2",0,10,44,0,1
"233","Cisticola juncidis","MDS3",0,10,44,0,0
"234","Cisticola juncidis","MDS4",0,10,44,0,0
"235","Cisticola juncidis","TTC1",0,10,44,0,1
"236","Cisticola juncidis","TTC2",0,10,44,0,0
"237","Cisticola juncidis","TTS1",0,10,44,0,1
"238","Cisticola juncidis","TTS2",0,10,44,0,0
"239","Corvus macrorhynchos","ADS1",0,10,36,0,1
"240","Corvus macrorhynchos","ADS3",2,10,36,0,0
"241","Corvus macrorhynchos","BD1",1,10,36,0,1
"242","Corvus macrorhynchos","BD2",4,10,36,0,0
"243","Corvus macrorhynchos","BD6",0,10,36,0,0
"244","Corvus macrorhynchos","BDC1",1,10,36,0,1
"245","Corvus macrorhynchos","BDC2",0,10,36,0,0
"246","Corvus macrorhynchos","BDC3",3,10,36,0,0
"247","Corvus macrorhynchos","BDC4",0,10,36,0,0
"248","Corvus macrorhynchos","BDC6",0,10,36,0,0
"249","Corvus macrorhynchos","BDC8",0,10,36,0,1
"250","Corvus macrorhynchos","BN1",0,10,36,0,1
"251","Corvus macrorhynchos","BN2",0,10,36,0,0
"252","Corvus macrorhynchos","BNC1",1,10,36,0,1
"253","Corvus macrorhynchos","BNC2",5,10,36,0,0
"254","Corvus macrorhynchos","BNC3",0,10,36,0,1
"255","Corvus macrorhynchos","CHC1",1,10,36,0,0
